Source,Target,Weight
strengthen,cch,30
closing,cch,30
everywhere,cch,30
family,cch,30
crime,cch,30
lost,cch,30
town,cch,30
itstimetochange,cch,30
child,cch,30
cc,cch,30
dealing,cch,30
pole,cch,30
sectors,cch,30
ecological,cch,30
pressure,cch,30
republican,cch,30
agency,cch,30
weeks,cch,30
devastating,cch,30
private,cch,30
friend,cch,29
fear,cch,29
worldmigratorybirdday,cch,29
tesla,cch,29
greenhousegas,cch,29
intensity,cch,29
field,cch,29
harvey,cch,29
provide,cch,29
ipcc,cch,29
fall,cch,29
affecting,cch,29
third,cch,29
trillion,cch,29
kill,cch,29
contribution,cch,29
thursdaythoughts,cch,29
concerns,cch,29
fiji,cch,29
reduced,cch,29
board,cch,29
funded,cch,29
partnership,cch,29
farms,cch,29
movement,cch,29
amount,cch,29
matteroffact,cch,29
canadians,cch,29
stepup2018,cch,29
toward,cch,29
lake,cch,29
freshwater,cch,29
deepstate,cch,29
percent,cch,29
exciting,cch,29
starts,cch,29
solarpanels,cch,29
retweeted,cch,29
partner,cch,29
industrial,cch,29
proof,cch,29
negative,cch,29
partners,cch,29
experience,cch,29
secret,cch,29
globalwarmingisreal,cch,29
mind,cch,29
wednesdaywisdom,cch,29
bank,cch,29
posted,cch,29
mountain,cch,28
putting,cch,28
details,cch,28
effort,cch,28
taxes,cch,28
assessment,cch,28
race,cch,28
tune,cch,28
released,cch,28
expect,cch,28
california’s,cch,28
wealth,cch,28
explore,cch,28
threatening,cch,28
failed,cch,28
showing,cch,28
center,cch,28
lots,cch,28
fisheries,cch,28
decarbonisation,cch,28
waves,cch,28
congrats,cch,28
gives,cch,28
democracy,cch,28
oh,cch,28
emerging,cch,28
mexico,cch,28
gulf,cch,28
anti,cch,28
seeing,cch,28
encourage,cch,28
whales,cch,28
discusses,cch,28
“,cch,28
miami,cch,28
environmentalism,cch,28
stream,cch,28
photo,cch,28
republicans,cch,28
threatened,cch,28
webinar,cch,28
21,cch,28
word,cch,28
created,cch,28
update,cch,28
manage,cch,28
property,cch,28
multiple,cch,28
transportation,cch,28
pact,cch,28
hrdps,cch,27
greatbarrierreef,cch,27
emergency,cch,27
particularly,cch,27
light,cch,27
main,cch,27
impacting,cch,27
htt,cch,27
founder,cch,27
department,cch,27
fishing,cch,27
highlighting,cch,27
stem,cch,27
expression,cch,27
documentary,cch,27
net,cch,27
provides,cch,27
priorities,cch,27
accelerating,cch,27
shipping,cch,27
grandchildren,cch,27
form,cch,27
sands,cch,27
ignoring,cch,27
greenland,cch,27
sunday,cch,27
knows,cch,27
flying,cch,27
participation,cch,27
specific,cch,27
eye,cch,27
resource,cch,27
view,cch,27
22,cch,27
engagement,cch,27
lookup,cch,27
temps,cch,27
following,cch,27
range,cch,27
surges,cch,27
recycle,cch,27
west,cch,27
degradation,cch,27
plastics,cch,27
heart,cch,27
episode,cch,27
windpower,cch,26
told,cch,26
picture,cch,26
restoration,cch,26
references,cch,26
habitat,cch,26
moment,cch,26
led,cch,26
note,cch,26
page,cch,26
press,cch,26
currently,cch,26
several,cch,26
fraud,cch,26
admit,cch,26
office,cch,26
crazy,cch,26
officials,cch,26
halt,cch,26
guys,cch,26
greater,cch,26
thursday,cch,26
dont,cch,26
southern,cch,26
700,cch,26
views,cch,26
hosted,cch,26
skills,cch,26
rep,cch,26
kills,cch,26
decade,cch,26
alaska,cch,26
started,cch,26
there’s,cch,26
sources,cch,26
thoughts,cch,26
briefing,cch,26
stunning,cch,26
truly,cch,26
glad,cch,26
hands,cch,26
fake,cch,26
udf0d,cch,26
permafrost,cch,26
exist,cch,26
