Source,Target,Weight
nojusticenopeace,blm,73
babyshower,blm,73
livingwhileblack,blm,73
serve,blm,73
louisiana,blm,73
napping,blm,73
bluetsunami2018,blm,72
im,blm,72
like❤,blm,72
wonder,blm,72
rt♻️,blm,72
endracism,blm,72
matters,blm,72
land,blm,72
play,blm,71
nypd,blm,71
dr,blm,71
goes,blm,71
50,blm,71
dumptrump,blm,71
food,blm,71
asking,blm,71
across,blm,71
panther,blm,71
piece,blm,71
cannot,blm,71
either,blm,71
amerikkka,blm,71
comment,blm,71
rally,blm,70
spread,blm,70
freepalestine,blm,70
stories,blm,70
hit,blm,70
accused,blm,70
gang,blm,70
rtudf0a,blm,70
let’s,blm,70
though,blm,70
lol,blm,70
clearly,blm,69
sacramento,blm,69
16,blm,69
corrupt,blm,69
guys,blm,69
facts,blm,69
prayer,blm,69
there’s,blm,69
ignorant,blm,69
event,blm,69
flintwatercrisis,blm,69
realdonaldtrump,blm,69
exist,blm,69
fbresistance,blm,69
likely,blm,68
male,blm,68
wearing,blm,68
phone,blm,68
feelthebern,blm,68
blackpride,blm,68
months,blm,68
sundaymorning,blm,68
past,blm,68
choked,blm,68
speech,blm,68
front,blm,68
simply,blm,68
friend,blm,68
reality,blm,68
boycott,blm,68
evidence,blm,68
turn,blm,67
wanted,blm,67
organization,blm,67
thedemocrats,blm,67
brother,blm,67
puertorico,blm,67
add,blm,67
lpnational,blm,67
ground,blm,67
dogs,blm,67
hurt,blm,67
harassment,blm,67
girls,blm,67
funny,blm,66
stupid,blm,66
fire,blm,66
palestinians,blm,66
policy,blm,66
sandyhook,blm,66
study,blm,66
course,blm,66
blackisbeautiful,blm,66
kid,blm,66
win,blm,66
supremacist,blm,66
ones,blm,66
terrorists,blm,66
systemic,blm,66
carolina,blm,66
second,blm,66
diversity,blm,66
muslim,blm,65
almost,blm,65
single,blm,65
dangerous,blm,65
tomorrow,blm,65
idea,blm,65
moms,blm,65
bias,blm,65
actions,blm,65
pigs,blm,65
les,blm,65
following,blm,64
parkland,blm,64
telling,blm,64
bullshit,blm,64
department,blm,64
bc,blm,64
truly,blm,64
supremacists,blm,64
ms13,blm,64
everyday,blm,64
danger,blm,64
happens,blm,64
knew,blm,64
udf0a,blm,64
online,blm,64
posts,blm,64
paid,blm,64
official,blm,64
gave,blm,63
bbqbecky,blm,63
choice,blm,63
suspect,blm,63
equal,blm,63
fiction,blm,63
we’re,blm,63
beat,blm,63
mass,blm,63
florida,blm,63
art,blm,63
100,blm,63
harassed,blm,63
photo,blm,63
seems,blm,63
voterepublicansout,blm,63
tonight,blm,63
moment,blm,62
identity,blm,62
father,blm,62
65,blm,62
republicansaretheproblem,blm,62
john,blm,62
bb,blm,62
future,blm,62
build,blm,62
blackqueen,blm,62
street,blm,62
paying,blm,62
longer,blm,62
bitch,blm,62
childish,blm,62
dm,blm,62
à,blm,61
senate,blm,61
david,blm,61
movements,blm,61
infowars,blm,61
jailed,blm,61
entire,blm,61
mad,blm,61
blackgirlmagic,blm,61
22,blm,61
drug,blm,61
homicide,blm,61
safety,blm,60
yalewhileblack,blm,60
jerusalem,blm,60
youtube,blm,60
church,blm,60
line,blm,60
trans,blm,60
whiteness,blm,60
palestinian,blm,60
safe,blm,60
fans,blm,60
boycottwafflehouse,blm,60
fake,blm,60
crimes,blm,60
experience,blm,60
republican,blm,60
defend,blm,60
palestine,blm,59
won’t,blm,59
later,blm,59
mom,blm,59
profiling,blm,59
training,blm,59
hand,blm,59
climatechange,blm,59
anymore,blm,59
animals,blm,59
brought,blm,59
supporting,blm,59
questions,blm,59
harry,blm,58
rise,blm,58
walking,blm,58
nap,blm,58
humanity,blm,58
indivisible,blm,58
oppression,blm,58
jesus,blm,58
18,blm,58
candidate,blm,58
est,blm,58
buy,blm,58
2016,blm,58
west,blm,58
month,blm,58
babies,blm,57
murders,blm,57
university,blm,57
continues,blm,57
yesterday,blm,57
ur,blm,57
age,blm,57
wake,blm,57
waiting,blm,57
clear,blm,57
surveillance,blm,57
level,blm,57
2015,blm,57
crying,blm,57
four,blm,57
allow,blm,57
involved,blm,57
bigotry,blm,56
hello,blm,56
missing,blm,56
bark,blm,56
neighbor,blm,56
supports,blm,56
teacher,blm,56
minorities,blm,56
atlanta,blm,56
–,blm,56
30,blm,56
attacked,blm,56
hacklearning,blm,56
iran,blm,56
choking,blm,56
area,blm,56
tried,blm,56
laptop,blm,56
excuse,blm,56
struggle,blm,56
ways,blm,55
nba,blm,55
move,blm,55
meet,blm,55
james,blm,55
saturdaymorning,blm,55
hatred,blm,55
propaganda,blm,55
illegal,blm,55
kag2020,blm,55
michael,blm,55
number,blm,55
angry,blm,55
⁠,blm,55
custom,blm,55
election,blm,55
baltimore,blm,55
thinking,blm,55
k,blm,55
created,blm,55
silent,blm,55
leader,blm,55
breakingnews,blm,54
board,blm,54
rap,blm,54
original,blm,54
everywhere,blm,54
came,blm,54
leaving,blm,54
administration,blm,54
beyond,blm,54
treat,blm,54
thumamina,blm,54
okay,blm,54
el,blm,53
playing,blm,53
videos,blm,53
walk,blm,53
graduate,blm,53
leaders,blm,53
texas,blm,53
mattered,blm,53
ya,blm,53
wall,blm,53
sense,blm,53
rip,blm,53
wish,blm,53
deaths,blm,53
given,blm,52
houston,blm,52
within,blm,52
according,blm,52
topprog,blm,52
standing,blm,52
irandeal,blm,52
gambino,blm,52
fellow,blm,52
running,blm,52
homeless,blm,52
al,blm,52
hero,blm,52
set,blm,52
false,blm,52
due,blm,52
elements,blm,52
bunch,blm,52
secret,blm,52
treatment,blm,52
guilty,blm,52
takes,blm,52
movie,blm,52
cute,blm,52
indigenous,blm,51
su,blm,51
omg,blm,51
led,blm,51
supporter,blm,51
glad,blm,51
hat,blm,51
scared,blm,51
blackking,blm,51
tears,blm,51
blackculture,blm,51
congress,blm,51
claim,blm,51
x,blm,51
blackcommunity,blm,51
global,blm,51
russian,blm,51
christian,blm,51
statement,blm,51
blacklivesmatters,blm,51
senator,blm,51
womenempowerment,blm,51
focus,blm,51
probably,blm,51
conversation,blm,51
i’ve,blm,51
hillary,blm,51
register,blm,51
seriously,blm,51
worth,blm,51
amjoy,blm,50
agenda,blm,50
feminist,blm,50
stopped,blm,50
team,blm,50
blacklives,blm,50
racially,blm,50
abortion,blm,50
sexual,blm,50
vs,blm,50
thinks,blm,50
lies,blm,50
warsaw,blm,50
alabama,blm,50
lynching,blm,50
protesters,blm,50
wrote,blm,50
jews,blm,50
born,blm,50
h,blm,50
putting,blm,49
fun,blm,49
game,blm,49
icantbreathe,blm,49
light,blm,49
answer,blm,49
uplift,blm,49
tweets,blm,49
entertainment,blm,49
blame,blm,49
she’s,blm,49
corruption,blm,49
stopmpd,blm,49
justify,blm,49
mr,blm,49
needed,blm,49
sex,blm,49
occupy,blm,48
“i,blm,48
page,blm,48
pulled,blm,48
release,blm,48
realize,blm,48
term,blm,48
swamp,blm,48
✊udffe,blm,48
assaulted,blm,48
09,blm,48
aka,blm,48
voice,blm,48
situation,blm,48
sitting,blm,48
completely,blm,48
deserves,blm,48
recent,blm,48
film,blm,48
majority,blm,48
1st,blm,48
investigation,blm,47
bet,blm,47
practice,blm,47
daughter,blm,47
boycottnra,blm,47
showing,blm,47
ca,blm,47
nappingwhileblack,blm,47
alone,blm,47
neighborhood,blm,47
york,blm,47
❤️,blm,47
inequality,blm,47
powertothepeople,blm,47
blacklovematters,blm,47
acknowledge,blm,47
loved,blm,47
lose,blm,47
immediately,blm,47
middle,blm,47
creating,blm,47
awareness,blm,47
cry,blm,47
dad,blm,47
